[follow_user_motion_node.py-1] [INFO] [1762592191.999283041] [follow_user_motion_node]: Executing goal for user: user_1
[follow_user_motion_node.py-1] [INFO] [1762592212.473501541] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.23, 0.19), Robot(4.23, 0.19, 12.14 deg), Heading error: -12.14 deg, target_vel(0.50, -21.03), cmd_vel(0.11, 0.09)
[follow_user_motion_node.py-1] [INFO] [1762592212.522558819] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.24, 0.20), Robot(4.24, 0.20, 12.48 deg), Heading error: -12.48 deg, target_vel(0.50, -21.61), cmd_vel(0.11, 0.09)
[follow_user_motion_node.py-1] [INFO] [1762592212.572931332] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.24, 0.20), Robot(4.24, 0.20, 12.80 deg), Heading error: -12.80 deg, target_vel(0.50, -22.16), cmd_vel(0.11, 0.07)
[follow_user_motion_node.py-1] [INFO] [1762592212.622512186] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.25, 0.20), Robot(4.25, 0.20, 13.10 deg), Heading error: -13.10 deg, target_vel(0.50, -22.67), cmd_vel(0.11, 0.07)
[follow_user_motion_node.py-1] [INFO] [1762592212.672665494] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.25, 0.20), Robot(4.25, 0.20, 13.38 deg), Heading error: -13.38 deg, target_vel(0.50, -23.14), cmd_vel(0.13, 0.05)
[follow_user_motion_node.py-1] [INFO] [1762592212.737294914] [follow_user_motion_node]: Update 31-point path with the last point: (5.00, 0.36)
[follow_user_motion_node.py-1] [INFO] [1762592212.738935597] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.13, 0.42), Robot(4.13, 0.42, 13.60 deg), Heading error: -13.60 deg, target_vel(0.50, -23.52), cmd_vel(0.13, 0.05)
[follow_user_motion_node.py-1] [INFO] [1762592212.773917428] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.13, 0.42), Robot(4.13, 0.42, 13.75 deg), Heading error: -13.75 deg, target_vel(0.50, -23.77), cmd_vel(0.14, 0.03)
[follow_user_motion_node.py-1] [INFO] [1762592212.823831414] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.14, 0.43), Robot(4.14, 0.43, 13.84 deg), Heading error: -13.84 deg, target_vel(0.50, -23.92), cmd_vel(0.14, 0.03)
[follow_user_motion_node.py-1] [INFO] [1762592212.874855123] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.14, 0.43), Robot(4.14, 0.43, 13.95 deg), Heading error: -13.95 deg, target_vel(0.50, -24.11), cmd_vel(0.13, -0.01)
[follow_user_motion_node.py-1] [INFO] [1762592212.925919717] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.15, 0.44), Robot(4.15, 0.44, 13.99 deg), Heading error: -13.99 deg, target_vel(0.50, -24.17), cmd_vel(0.13, -0.01)
[follow_user_motion_node.py-1] [INFO] [1762592212.977135109] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.15, 0.44), Robot(4.15, 0.44, 13.99 deg), Heading error: -13.99 deg, target_vel(0.50, -24.17), cmd_vel(0.14, -0.04)
[follow_user_motion_node.py-1] [INFO] [1762592213.026582675] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.15, 0.44), Robot(4.15, 0.44, 13.94 deg), Heading error: -13.94 deg, target_vel(0.50, -24.10), cmd_vel(0.14, -0.04)
[follow_user_motion_node.py-1] [INFO] [1762592213.093944710] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.16, 0.45), Robot(4.16, 0.45, 13.82 deg), Heading error: -13.82 deg, target_vel(0.50, -23.88), cmd_vel(0.14, -0.04)
[follow_user_motion_node.py-1] [INFO] [1762592213.145770858] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.16, 0.45), Robot(4.16, 0.45, 13.68 deg), Heading error: -13.68 deg, target_vel(0.50, -23.64), cmd_vel(0.15, -0.07)
[follow_user_motion_node.py-1] [INFO] [1762592213.196038467] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.17, 0.46), Robot(4.17, 0.46, 13.58 deg), Heading error: -13.58 deg, target_vel(0.50, -23.49), cmd_vel(0.15, -0.07)
[follow_user_motion_node.py-1] [INFO] [1762592213.257915185] [follow_user_motion_node]: Update 30-point path with the last point: (5.00, 0.36)
[follow_user_motion_node.py-1] [INFO] [1762592213.259173132] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.19, 0.44), Robot(4.19, 0.44, 13.47 deg), Heading error: -13.47 deg, target_vel(0.50, -23.30), cmd_vel(0.16, -0.09)
[follow_user_motion_node.py-1] [INFO] [1762592213.294632309] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.21, 0.45), Robot(4.21, 0.45, 13.32 deg), Heading error: -13.32 deg, target_vel(0.50, -23.04), cmd_vel(0.16, -0.09)
